Name,sub_title,tags,Category,url,files,UUiD,notes,time_stamp
Latest Jewe$$ Psycho Picked to Head the CDC - Mandy Cohen,The next Plandemic must be just around the corner. It's called a PATTERN. You can't make this sh*t up..... From Liz Wheeler,"Covid,Population Control,Jews,Satanism,Vax,Government",Red Pills,https://www.bitchute.com/video/2TaoHGghXnHn/,Social media image from www.bitchute.com on 2023-08-31 at 4.42.55 PM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/OWxJ_lDtQ03OxnChPxFKXw/U1uqmnAU_bt0Cz_liRtTXde2zfp6h8yGBhPvogRcfVGT0rM5-6QRhVT6AahHoC0u7ysatVUuWiwhVc7Bq_yATB0ejoVmf9eVEDTRKjzDTkh2KMf9NUK5KLafCKxwU_6LcOdOdS_PbTb2d7hwId8p5b_KzvXa8CayG_Pf-09vZhg/saq2FtC6ZvooyIvPw9MQgg3sdtwW557mli1e6MXMFmA),recAqJJRq4nAET4FM,,8/31/2023
Harry Vox - EU,"Play this for your family members and friends who still don't get it. If they can't figure it out after three years of this shit they will never wake up. And it becomes a waste of time dealing with them, move on because they will drag you down with them.","Liberty Activist,Liberty News,New World Order,Dystopian,American,Red Pill Warrior,War Against Christians,War Agasint Whites,Jews,Red Pills,Covid,Vax,Population Control",Red Pills,https://www.bitchute.com/channel/bbhyHCnJT279/,Social media image from www.bitchute.com on 2023-08-31 at 4.13.33 PM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/cGjnTYk58iNxbcLDtE1C0g/i5MnqFiGf6t8cYuYeJWEj0uGPcQ4OdLT76ix-Iay_5YGIjHxZknRWxZFJuYjFX66Rh1bYcsGGWLo-b8Yiyxd4JLwtHZVTKqtYtMW4umCYZo7EqtBj6T9WqVU7qkpxOixtj3eMswbOF5oNbbTTDxBRr7G2iEVhtLxE8B-hhdH59A/M-8ACBS07Iu9IB09hfx8c0Y_wVr7siicC-Ern9lIXyw),recqTiBf0WKz2MFqw,,8/31/2023
Search - BitChute,Truth about Jews,"Nationalism,NatSoc,Germany,Economic Warfare,Economics,Monetary System,Central Bank,Decentralization,WW2,History,War Agasint Whites,War Against Christians",Red Pills,https://www.bitchute.com/search/?query=vertigo%20politix&kind=video,Social media image from www.bitchute.com on 2023-08-31 at 4.04.41 PM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/dT1Zz0p_aQA2n2yIbrs9pQ/p0Noyg_Zv4JWYsQ26kgJC83HVuQWCLIyNeiB2JYK-O6DAPWeuhnbcZubmeiBhhfdduL241yMIh2vDUAHoS8-2HYmz21BfQQUHp29FHwfD8YxRFam8-LKJBdBJEj92ify4FN43klTdi0ywBIyZ3qD4OcObd7vtAUyN1rmuNhZeu0/zEr_d6XatnwBhBiif9AfqYGh9vXnlp_13vQYaOnXiKE),reccixZPtwxVSC6D6,,8/31/2023
The Truth About the Talmud: Judaism's Holiest Book,"On the next lines we will represent some of the Jewish Teaching that quoted directly from the TORAH, TALMUD, AND OTHER BOOKS WRITTEN BY JEWS.... we know that we will get a bitter attack for that.... but what we present here is the pure truth... and before attacking us spent few  minutes to back to the page numbers of the references we mentioned here...... we used the  Babylonian Talmud in our quotes.....","Orthodox Jews,Jews,Satanism,Communism,Dystopian,Cultural Marxism,History,New World Order,War Against Christians",Red Pills,http://all.net/books/iw/mid-east/unity-news.2000-12-03/www.ummah.net/unity/palestine/talmud1.htm,Screenshot of all.net on 2023-08-31 at 4.03.05 PM.png (https://v5.airtableusercontent.com/v1/20/20/1694750400000/w6kV0flVBfsIm1INLoA5uw/nvA7qmkm0QyL5VC_Y5RcbV5a6Nv0eqcHX04mD9Qc8RnhqgZiwCkAxLCa8cgNNEQ_ow0lwSroBwrZTJs3AThCZpjnGtZosnSpH6903k1BVX94o7-YuKR0Z353Js8qjj9ztrJC1Cw5KIgS1deIsHEqtQ/SKA60Ih8Nq6zh42GfhvEQjLXSa9HeMuy_PJ4D9D5jwA),rec5wnnwK1rzAF4Rd,,8/31/2023
Adolf Hitler The Greatest Story Never Told (Full),"PLEASE BE ADVISED: International Jewry has declared war on truth! This documentary like many others that are exposing the greatest lies of the 20th century surrounding the life and story of Adolf Hitler and WWII, has been deleted, blocked, and banned world wide not only on YouTube but also iTunes and other platforms. Such desperate attempts to keep the truth hidden from the deceived masses should be a major red flag for anyone who is seeking the truth and the escape from the web of lies and delusion that has been bestowed upon us.  We have all been unfathomably deceived. Our enemies and the greatest threat to humanity - organized international Jewry, has concealed, through lies and deceit the most heinous crimes of theft, rape, sadistic torture and brutal and unthinkable murder of 10’s of millions of innocent men, women and children pre, during and after the so called “good war” - WWII.  Please watch, share and repost this video to help expose the greatest kept secrets and the most unimaginable lies. Lets rise up together, as one, united against Jewish tyranny.  ""Lord God, give us the strength so that we may retain our liberty for our children and our children's children, not only for ourselves but for other peoples of Europe, for this is a war which we all wage, this time, not for your German people alone, it is a war for all of Europe and with it, in the long run, for all of mankind."" - Adolf Hitler","Nationalism,NatSoc,Germany,Economic Warfare,Economics,Monetary System,Central Bank,Decentralization,WW2,History,War Against Christians,War Agasint Whites",Red Pills,https://www.bitchute.com/video/mZpeJkSNjcA3/,Social media image from www.bitchute.com on 2023-08-31 at 3.55.43 PM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/KTQTw-0ActYQuBDaOwHAog/wHJ_Z5Ea6F1X48bDtjxgXvvFTNTaVY4r7XaU1QmwT3hFcEal-ov2D5OooLo57kwY2oEI-x08IWh8gRfxk63RTRuqMWd9k3GhEk_1Rfkq_IAAedhNuNwf1yGGtYbM8C5c5m52HnfqTrUYR7eusw10SjIfszfaMmg3gTePfm23-J0/nYroifeQi7izWq9RDuwbwt903nERQa_sq9ucJoa3ZSk),recTNmhfrcWFzBNZV,,8/31/2023
Soviet hammer and sickle a veil for Hebrew letter aleph | Fitzpatrick Informer,"The Soviet Hammer & sickle is a veil for the Jewish letter ‘Aleph’, which denotes ‘Master of the Universe’ ie. the Jewish ‘god’ satan (John 8:44). The symbol was the logo for the Israeli Mapai socialist party, headed by David Ben-Gurion.","Jews,Satanism,Russia,USSR,Communism,Marxism,Population Control,Dystopian",Red Pills,https://fitzinfo.net/2021/09/08/soviet-hammer-and-sickle-a-veil-for-hebrew-letter-aleph/,Social media image from fitzinfo.net on 2023-08-31 at 3.54.18 PM.png (https://v5.airtableusercontent.com/v1/20/20/1694750400000/Mi3cxUpzuMdt79AqQLo2iQ/KxUPufn_ShAxuHx49p9jPq1-cWsJ8Sz3WrtQ5UbhZ6EH1nXevtPLbkkmYGUDoIFdQEjotiHbwHtwhNtqCobH3R-wp0TX9KlMxlFDmAUpH8QJh-mnWq5PtdpKyPJnWoXJSyUCBZbkZ1DUmgImLthroPdobu9mMnVd7cEf2NN_7t0/v4ux0fUtgnt5moJWA8o3zXhrhyQefF2uibQoAu4e_jY),recRVOS4ySDLTwlDR,,8/31/2023
''THE SYSTEM'S NEATEST TRICK...'',"""Enclosed within his artificial creation, man finds that there is “no exit”; that he cannot pierce the shell of technology again to find the ancient milieu to which he was adapted for hundreds of thousands of years . In our cities there is no more day or night or heat or cold. But there is overpopulation, thralldom to press and television, total absence of purpose. All men are constrained by means external to them to ends equally external. The further the technical mechanism develops that allows us to escape natural necessity, the more we are subjected to artificial technical necessities."" [Jaques Ellul]","Ted Kazinski,Dystopian,New World Order,Socialists,Marxism,Population Control",Red Pills,https://www.bitchute.com/video/dncnCzXbzseg/,Social media image from www.bitchute.com on 2023-08-31 at 3.53.23 PM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/VhI9DCV1Qs7GFQyLqF7AQQ/68kEeNoD8-5CotkGSjySzSmaPokHrCCeSb09O3ujfGaR3tPcxI58JV5PjbtjGP4ai0WFyFdr2noRscvdtyOzP0khv0cC6b4S_JTXyV2iWBK8z-EtE4pU0erJTyhLdsm76bchDd_2iHh2odayJzhz5YH5LuO3zm_d7HkxLKxuMpg/9nrPJu5zRlXxaaRIM-L1YcJiFwJEVfEo0saE5zSo1h0),rec7tH9BZPaOydGUl,,8/31/2023
Adolf Hitler - The Man Who Fought Jewish Usury,"""Pride in one's own race - and that does not imply contempt for other races - is ... a normal and healthy sentiment."" - Adolf Hitler","Nationalism,NatSoc,Germany,Economic Warfare,Economics,Monetary System,Central Bank,Decentralization,WW2,History",Red Pills,https://www.bitchute.com/video/vvkvfsYEnHXC/,Social media image from www.bitchute.com on 2023-08-31 at 3.50.11 PM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/9aQWufkrnNdzAkwa9r11Mg/79SNOwFTsF83Bhz6WXpp_0zzoyuCWGLYeGyCvOSSlgshGrFkyGZ_Tbbekkcg7MHfWKAYBkWbo_xERHhJCSjfzhN7mJIzu3yakjE8F-sBZlIgp4Kn_NORFNrJ_UUqbMUmOE7Ufc0F7zFzrhFb7EBivDOtRJct8rPkWZWtPFFUwNs/v8NpL5t3kt5FC7CdRTwY_ZfwG4zboPfGVd9uPaVJeL4),recgl8x7j6tNvd2KZ,,8/31/2023
Women being DESTROYED by Modern Feminism & HookUp Culture | Single & Lonely | FBE Capital - YouTube,"Modern Feminism & Hookup Culture are having a devastating effect on modern women, even though it's being sold to them, as something positive that they should strive for.","Feminism,Population Control,Dystopian,Marriage",Red Pills,https://www.youtube.com/watch?v=nE8ThBIoHe0,Social media image from www.youtube.com on 2023-08-31 at 3.19.59 PM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/1KQyPASiU0KiRQQX0K_eFg/HffDbIdYP6FaN6tmNR0DJqiIO_0kxbQLFupp5qStBooLJrIIs5WV_CRJtE1mN-XKlSm8g4_SHT61UJlLfZxhLi79wZ0CivakcIT2bkLJiY-ygm6Wc1xpgFM9HnD7Ew1FjYU9UKV9RgIxLyvs9sAQf7lU8kuOhhqUszUjGv7zFi4/YrFZ9Wn7QoEQMSI5csCyln5itMSkZZutwjUEcGzXqM8),recz3i8p7mF8lOlCt,,8/31/2023
GoyimTv.tv (@GoyimTv) - Gab Social,We are an online streaming and uploading platform that exposes the JEWS,"Satanism,Jews,New World Order,Economic Warfare,War Against Christians,War Agasint Whites,History",Red Pills,https://gab.com/GoyimTv,Social media image from gab.com on 2023-08-31 at 2.59.18 PM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/JGBQ5Z7oFI2geU3dkOQi9A/GNBAtodK59NNFdIyNnzhBZzlHrW5YwHi1mKWcgJsAra46ozOYLXZLe5aVmw8Rw9LvIyKOUjb4-PkMGqoNvXGSNfmhe-X_Yfqti6XJ0ZTk2LMC5suy0JpztYIgOQ2w5Vs_YLniRYjHF0tLl8Mv5C4BA/LjCz7WJjs8PLltOHn0th6Q0XsQOtS6V3BTy7LM3pXrM),recl2CQvlbehfmBFJ,,8/31/2023
GTV Flyers – GTV Flyers,Jewish Flyers,"Satanism,Jews,New World Order,Economic Warfare,War Against Christians,War Agasint Whites,History",Red Pills,https://www.gtvflyers.com/,Screenshot of www.gtvflyers.com on 2023-08-31 at 2.58.27 PM.png (https://v5.airtableusercontent.com/v1/20/20/1694750400000/JSIh1Sx3W0AiVLRqlnu9lg/MT6EH6lFHGwaTKwYQIgRoRMg0XTJdT5--JcYyI7dKDTSPddgEQn_OZPytBcbYDgCjOhNufV5Tcd5TMdus3RNMoMPU-3lsLOE8bN1y-2-0Vh2AOdW-Uq93RcerErQh_UeX08GYR0H0bSnLxxHDwOJKA/LQICDE67N38nVtsYaeFZ-J9Ax7iZX1L5P9xRA5zNBgI),recN0Bf9kM5cmhJTS,,8/31/2023
RenseRadio Network,Jeff Rense Radio,"Red Pill Warrior,Red Pills,Liberty Activist,Liberty News,Health,Covid,Vax,False Flag,New World Order,Jews,Satanism,Jeff Rense",Red Pills,https://www.renseradio.com/,Image from www.renseradio.com on 2023-08-31 at 2.53.03 PM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/368RqEobpdEZ_11Z4SPIFw/6FvEZNj982XKxIhbmSFkRfxDs1pzVkKyhJT-br1vyrGghvDdl88fFr_0d7NO_eg9Xg-7yO3cjAjpE58niJw7B4phF_krsSXMFiGdgTDejcGkn9hQME_GExvJCZg7QEzdpRrJk-oyOBh9xccGCROz_g/TnemnMQuJfOfz_rlJWCfBFn5OcCWq-AyT2tPg6VnGdk),recaVg3BJi2K2QVSY,,8/31/2023
"The Liberal Left is Wicked, Not Merely Mistaken - Russian Faith","Conservative commentator Dennis Prager once made an insightful distinction between the political left and right. The right, he noted, generally sees the left as wrong but not evil, whereas the left sees the right not merely as wrong but as evil.","Socialists,Satanism,Jews,Abortion,Population Control,War Against Christians,Communism",Red Pills,https://russian-faith.com/culture/leftism-not-just-wrong-but-evil-n2568b,Social media image from russian-faith.com on 2023-08-31 at 12.33.39 AM.png (https://v5.airtableusercontent.com/v1/20/20/1694750400000/ipOdo3H3qrjUJ2IERiDHpA/rGlvkJ331UdGtOJGaifTwAOp7aKZSFMAmjGSH0ByOT8vLrMlzG96Ci6l9C1f-Aq4tlO_TwWoEDI7mWZcNTnG_8m3SG5w4J3B9V4uVNI6b-ngb9IV4qlzztrugovNjD948r_HokMa2a_7Yc6FHqYH8fva7Si6-_QwRnSUofrqfRE/-lHJf2Zy28JpyG80lub_OOYVfbvLlHrkpAEmFxJCmQk),reczd6PpIGSN6BKJJ,,8/31/2023
